optimizer,learning_rate,weight_decay,momentum,seed,resolved_seed,validation_accuracy,validation_loss,best_validation_epoch,training_time_seconds,uses_test_split
AdamW,0.01,0.0005,0.0,44,642800218,0.772,0.7582136988639832,94,2.888406035985099,False
AdamW,0.01,0.005,0.0,42,939244910,0.77,0.7667073011398315,48,2.9621379809977952,False
AdamW,0.01,0.005,0.0,43,374737321,0.778,0.7377194166183472,94,3.000380057026632,False
AdamW,0.01,0.005,0.0,44,642800218,0.772,0.7573461532592773,94,3.175632856989978,False
AdamW,0.03,0.0,0.0,42,939244910,0.772,0.9506509304046631,73,3.4563010440033395,False
AdamW,0.03,0.0,0.0,43,374737321,0.77,0.8600221276283264,49,2.9729725390207022,False
AdamW,0.03,0.0,0.0,44,642800218,0.768,0.9693584442138672,29,2.9233944049919955,False
AdamW,0.03,0.0005,0.0,42,939244910,0.772,0.9473786354064941,73,3.017062368016923,False
AdamW,0.03,0.0005,0.0,43,374737321,0.768,0.8552328944206238,49,3.1383739539887756,False
AdamW,0.03,0.0005,0.0,44,642800218,0.766,0.967507004737854,29,2.8626680680026766,False
AdamW,0.03,0.005,0.0,42,939244910,0.772,0.9375823736190796,73,2.9235460110066924,False
AdamW,0.03,0.005,0.0,43,374737321,0.77,0.8444461822509766,24,2.8671476960007567,False
AdamW,0.03,0.005,0.0,44,642800218,0.764,0.9491429924964905,29,2.871183460985776,False
RMSProp,0.001,0.0,0.0,42,1326751566,0.77,1.49248206615448,169,2.8560816590033937,False
RMSProp,0.001,0.0,0.0,43,326786782,0.79,1.4764500856399536,75,2.852222724992316,False
RMSProp,0.001,0.0,0.0,44,1907655278,0.754,1.481180191040039,192,3.0667031010088976,False
RMSProp,0.001,0.0005,0.0,42,1326751566,0.772,1.5896451473236084,197,3.4586482890008483,False
RMSProp,0.001,0.0005,0.0,43,326786782,0.794,1.5804308652877808,33,2.8367917069990654,False
RMSProp,0.001,0.0005,0.0,44,1907655278,0.74,1.5800232887268066,198,3.8729400289885234,False
