dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.05,10,0.7974,0.010013,0.006206,0.787197,0.008587,0.005323,0.0084,0.77168
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.1,10,0.7834,0.010405,0.006449,0.774524,0.008002,0.00496,0.0224,0.77168
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.2,10,0.7696,0.011177,0.006928,0.761284,0.011009,0.006824,0.0362,0.77168
Cora,fixed,training_time,RMSProp,fake_edge_addition,0.3,10,0.7454,0.017135,0.01062,0.733597,0.018474,0.011451,0.0604,0.77168
Cora,fixed,training_time,RMSProp,feature_masking,0.05,10,0.8004,0.004502,0.00279,0.789403,0.005226,0.003239,0.0054,0.79554
Cora,fixed,training_time,RMSProp,feature_masking,0.1,10,0.7968,0.010337,0.006407,0.78743,0.010562,0.006546,0.009,0.79554
Cora,fixed,training_time,RMSProp,feature_masking,0.2,10,0.7974,0.013978,0.008664,0.787079,0.013214,0.00819,0.0084,0.79554
Cora,fixed,training_time,RMSProp,feature_masking,0.3,10,0.7875,0.011058,0.006854,0.776539,0.011076,0.006865,0.0183,0.79554
Cora,fixed,training_time,SGD,clean,0.0,10,0.1516,0.020935,0.012976,0.075699,0.028918,0.017924,0.0,0.1516
Cora,fixed,training_time,SGD,edge_removal,0.05,10,0.1581,0.041498,0.025721,0.083049,0.019076,0.011823,-0.0065,0.14341
Cora,fixed,training_time,SGD,edge_removal,0.1,10,0.1274,0.023472,0.014548,0.060579,0.022706,0.014074,0.0242,0.14341
Cora,fixed,training_time,SGD,edge_removal,0.2,10,0.1413,0.01147,0.007109,0.075467,0.023837,0.014775,0.0103,0.14341
Cora,fixed,training_time,SGD,edge_removal,0.3,10,0.1643,0.053254,0.033007,0.085471,0.030027,0.018611,-0.0127,0.14341
Cora,fixed,training_time,SGD,fake_edge_addition,0.05,10,0.1236,0.027342,0.016947,0.061183,0.028831,0.017869,0.028,0.13091
Cora,fixed,training_time,SGD,fake_edge_addition,0.1,10,0.1413,0.031102,0.019277,0.061295,0.026588,0.01648,0.0103,0.13091
Cora,fixed,training_time,SGD,fake_edge_addition,0.2,10,0.1293,0.032992,0.020448,0.059994,0.021357,0.013237,0.0223,0.13091
Cora,fixed,training_time,SGD,fake_edge_addition,0.3,10,0.1222,0.028974,0.017958,0.056278,0.025723,0.015943,0.0294,0.13091
Cora,fixed,training_time,SGD,feature_masking,0.05,10,0.1356,0.070236,0.043533,0.055091,0.023749,0.01472,0.016,0.14316
Cora,fixed,training_time,SGD,feature_masking,0.1,10,0.165,0.075906,0.047047,0.079017,0.043188,0.026768,-0.0134,0.14316
Cora,fixed,training_time,SGD,feature_masking,0.2,10,0.1352,0.03603,0.022332,0.06339,0.02826,0.017516,0.0164,0.14316
Cora,fixed,training_time,SGD,feature_masking,0.3,10,0.1301,0.029775,0.018455,0.051969,0.018154,0.011252,0.0215,0.14316
