track,optimizer,perturbation_type,severity,seed,epochs,hidden_channels,dropout,learning_rate,weight_decay,test_accuracy,macro_f1,final_loss,training_time_seconds
teammate,Adam,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.793,0.7839494732969795,0.2957172393798828,19.23584486800246
teammate,AdamW,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.797,0.788624640639622,0.056901924312114716,27.72363754500111
teammate,RMSProp,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.793,0.7859621541042836,0.39344173669815063,35.6679108190001
teammate,AdaGrad,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.719,0.716191599759742,1.4074255228042603,29.517507990000013
teammate,SGD,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.146,0.05401849661361243,1.9439318180084229,52.77637544699974
teammate,Adam,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.796,0.7892320439251705,0.2986287474632263,22.686404701002175
teammate,AdamW,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.792,0.7843327943489503,0.05906491354107857,20.899415055006102
teammate,RMSProp,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.789,0.7814442191934915,0.4071546494960785,19.97808069799794
teammate,AdaGrad,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.723,0.7231779239282148,1.403181552886963,20.547467502998188
teammate,SGD,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.14,0.0542673499873721,1.9442890882492065,58.65903816399805
teammate,Adam,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.779,0.7741451313806218,0.28970953822135925,71.48776870500296
teammate,AdamW,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.779,0.7660602391733776,0.056313153356313705,226.77503866700135
teammate,RMSProp,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.788,0.7742937195544374,0.33286964893341064,116.00841701999889
teammate,AdaGrad,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.703,0.7013772220605485,1.3859564065933228,33.154683678003494
teammate,SGD,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.134,0.04702724167013983,1.9438037872314453,64.0447963810002
teammate,Adam,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.765,0.7567415900651788,0.2937215566635132,81.1347739289995
teammate,AdamW,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.757,0.7456427700630271,0.06319005787372589,68.91233509699669
teammate,RMSProp,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.755,0.7500940501510506,0.2834017872810364,43.8906359850007
teammate,AdaGrad,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.709,0.7011062152705522,1.3835558891296387,17.272487237998575
teammate,SGD,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.145,0.06079261341451981,1.9445308446884155,23.32412809500238
