track,optimizer,perturbation_type,severity,seed,epochs,hidden_channels,dropout,learning_rate,weight_decay,test_accuracy,macro_f1,final_loss,training_time_seconds
baseline,Adam,clean,0.0,42,200,16,0.5,0.01,0.0005,0.799,0.7897144594203988,0.31586694717407227,12.050887280998722
baseline,AdamW,clean,0.0,42,200,16,0.5,0.01,0.0005,0.799,0.7895294822788562,0.05768870562314987,21.08103750599912
baseline,RMSProp,clean,0.0,42,200,16,0.5,0.01,0.0005,0.795,0.7866196233392716,0.38127389550209045,41.65851694599769
baseline,AdaGrad,clean,0.0,42,200,16,0.5,0.01,0.0005,0.719,0.719022963648506,1.41116464138031,24.489561049998883
baseline,SGD,clean,0.0,42,200,16,0.5,0.01,0.0005,0.148,0.056338611292563325,1.9439762830734253,19.418733022997912
