dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
Cora,fixed,training_time,AdaGrad,fake_edge_addition,0.3,10,0.6868,0.033999,0.021073,0.685047,0.029877,0.018518,0.0856,0.72469
Cora,fixed,training_time,AdaGrad,feature_masking,0.05,10,0.7756,0.012563,0.007786,0.76616,0.009048,0.005608,-0.0032,0.74962
Cora,fixed,training_time,AdaGrad,feature_masking,0.1,10,0.7616,0.021303,0.013204,0.754111,0.015549,0.009637,0.0108,0.74962
Cora,fixed,training_time,AdaGrad,feature_masking,0.2,10,0.7438,0.016493,0.008347,0.738418,0.012253,0.006201,0.0286,0.74962
Cora,fixed,training_time,AdaGrad,feature_masking,0.3,10,0.7303,0.017166,0.01064,0.727289,0.012478,0.007734,0.0421,0.74962
Cora,fixed,training_time,Adam,clean,0.0,10,0.811733,0.004399,0.002226,0.800664,0.003927,0.001987,0.0,0.811733
Cora,fixed,training_time,Adam,edge_removal,0.05,10,0.8057,0.008957,0.005552,0.794115,0.009119,0.005652,0.006033,0.79026
Cora,fixed,training_time,Adam,edge_removal,0.1,10,0.8019,0.006951,0.004309,0.791669,0.007943,0.004923,0.009833,0.79026
Cora,fixed,training_time,Adam,edge_removal,0.2,10,0.7858,0.010255,0.00519,0.774605,0.011349,0.005743,0.025933,0.79026
Cora,fixed,training_time,Adam,edge_removal,0.3,10,0.774,0.007817,0.004845,0.762847,0.008725,0.005408,0.037733,0.79026
Cora,fixed,training_time,Adam,fake_edge_addition,0.05,10,0.7999,0.005626,0.003487,0.790187,0.006036,0.003741,0.011833,0.774657
Cora,fixed,training_time,Adam,fake_edge_addition,0.1,10,0.7878,0.007465,0.004627,0.777962,0.007752,0.004805,0.023933,0.774657
Cora,fixed,training_time,Adam,fake_edge_addition,0.2,10,0.769667,0.009225,0.004668,0.759351,0.00912,0.004615,0.042066,0.774657
Cora,fixed,training_time,Adam,fake_edge_addition,0.3,10,0.7523,0.010853,0.006727,0.740974,0.01045,0.006477,0.059433,0.774657
Cora,fixed,training_time,Adam,feature_masking,0.05,10,0.8039,0.008543,0.005295,0.793366,0.008951,0.005548,0.007833,0.794837
Cora,fixed,training_time,Adam,feature_masking,0.1,10,0.7998,0.007857,0.00487,0.790375,0.006835,0.004236,0.011933,0.794837
Cora,fixed,training_time,Adam,feature_masking,0.2,10,0.794267,0.011591,0.005866,0.782491,0.011175,0.005655,0.017466,0.794837
Cora,fixed,training_time,Adam,feature_masking,0.3,10,0.784,0.011045,0.006846,0.771482,0.011111,0.006887,0.027733,0.794837
Cora,fixed,training_time,AdamW,clean,0.0,10,0.7874,0.008105,0.004102,0.780506,0.008115,0.004107,0.0,0.7874
