track,optimizer,perturbation_type,severity,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
baseline,Adam,clean,0.0,42,1,1.9456863403320312,1.946117639541626,0.108,0.09085115527692558
baseline,Adam,clean,0.0,42,2,1.9413901567459106,1.940421462059021,0.126,0.12697321955959087
baseline,Adam,clean,0.0,42,3,1.934025764465332,1.9322776794433594,0.394,0.2368875059776319
baseline,Adam,clean,0.0,42,4,1.9248288869857788,1.9257317781448364,0.208,0.11550838193235732
baseline,Adam,clean,0.0,42,5,1.9121124744415283,1.9199483394622803,0.156,0.08398262462693905
baseline,Adam,clean,0.0,42,6,1.9059110879898071,1.914015293121338,0.15,0.08591814693311041
baseline,Adam,clean,0.0,42,7,1.8948856592178345,1.9088071584701538,0.142,0.07456466570663857
baseline,Adam,clean,0.0,42,8,1.8827052116394043,1.9040077924728394,0.15,0.09092112868358251
baseline,Adam,clean,0.0,42,9,1.871672511100769,1.8993481397628784,0.178,0.13243402276560498
baseline,Adam,clean,0.0,42,10,1.8613708019256592,1.8945412635803223,0.21,0.16856749042705413
baseline,Adam,clean,0.0,42,11,1.8516569137573242,1.8896070718765259,0.234,0.207934394509584
baseline,Adam,clean,0.0,42,12,1.8296064138412476,1.884368658065796,0.264,0.25090704460461627
baseline,Adam,clean,0.0,42,13,1.8274712562561035,1.8786602020263672,0.292,0.3036375200991513
baseline,Adam,clean,0.0,42,14,1.8077656030654907,1.8724716901779175,0.322,0.3451149062009984
baseline,Adam,clean,0.0,42,15,1.7991316318511963,1.8649721145629883,0.352,0.38320190147035577
baseline,Adam,clean,0.0,42,16,1.7839581966400146,1.856725811958313,0.394,0.4343163155817788
baseline,Adam,clean,0.0,42,17,1.762750267982483,1.8474104404449463,0.43,0.4809936064856628
baseline,Adam,clean,0.0,42,18,1.7484217882156372,1.8376308679580688,0.458,0.509078137064858
baseline,Adam,clean,0.0,42,19,1.7324669361114502,1.8275350332260132,0.49,0.541870295653604
baseline,Adam,clean,0.0,42,20,1.7170342206954956,1.8168644905090332,0.526,0.5720410916893924
baseline,Adam,clean,0.0,42,21,1.6987587213516235,1.8061811923980713,0.544,0.5796780206503124
baseline,Adam,clean,0.0,42,22,1.688368320465088,1.7956525087356567,0.564,0.59201353892409
baseline,Adam,clean,0.0,42,23,1.678391695022583,1.7849338054656982,0.578,0.5994024465916015
baseline,Adam,clean,0.0,42,24,1.6546701192855835,1.7740346193313599,0.6,0.6183348863878615
baseline,Adam,clean,0.0,42,25,1.6186585426330566,1.7639983892440796,0.61,0.6266369028677119
baseline,Adam,clean,0.0,42,26,1.6123090982437134,1.7541700601577759,0.614,0.6379819545099368
baseline,Adam,clean,0.0,42,27,1.6032320261001587,1.744808554649353,0.618,0.6406289366157096
baseline,Adam,clean,0.0,42,28,1.5842888355255127,1.7348928451538086,0.63,0.6558156229121026
baseline,Adam,clean,0.0,42,29,1.561716079711914,1.7248629331588745,0.646,0.6643869776487058
baseline,Adam,clean,0.0,42,30,1.5546921491622925,1.7135220766067505,0.656,0.675888452944584
baseline,Adam,clean,0.0,42,31,1.5179353952407837,1.7023649215698242,0.648,0.673999352916855
baseline,Adam,clean,0.0,42,32,1.5029566287994385,1.6911367177963257,0.648,0.6700532327749832
baseline,Adam,clean,0.0,42,33,1.477652907371521,1.6802115440368652,0.658,0.6752073448228885
baseline,Adam,clean,0.0,42,34,1.4568194150924683,1.6691323518753052,0.666,0.6839429634297413
baseline,Adam,clean,0.0,42,35,1.4447218179702759,1.6584815979003906,0.676,0.6908299237406335
baseline,Adam,clean,0.0,42,36,1.4375149011611938,1.6481270790100098,0.676,0.6909914338611856
baseline,Adam,clean,0.0,42,37,1.4217535257339478,1.6375031471252441,0.68,0.6937213255815894
baseline,Adam,clean,0.0,42,38,1.3863041400909424,1.6264845132827759,0.678,0.6892187269422921
baseline,Adam,clean,0.0,42,39,1.3498787879943848,1.6148557662963867,0.686,0.6950673029633755
baseline,Adam,clean,0.0,42,40,1.345491886138916,1.6024984121322632,0.688,0.696390166153229
baseline,Adam,clean,0.0,42,41,1.3465265035629272,1.589033603668213,0.692,0.6979234710313887
baseline,Adam,clean,0.0,42,42,1.3186665773391724,1.574914813041687,0.698,0.7035264234722837
baseline,Adam,clean,0.0,42,43,1.2889974117279053,1.561011552810669,0.7,0.7035685709006303
baseline,Adam,clean,0.0,42,44,1.2523319721221924,1.5476036071777344,0.708,0.7090788219461501
