optimizer,epoch,n_seeds,mean_gradient_l2_norm,std_gradient_l2_norm,mean_train_loss,mean_validation_loss,mean_validation_accuracy
AdaGrad,77,10,0.100245,0.006018,1.672212,1.797969,0.7438
AdaGrad,78,10,0.101961,0.017463,1.665781,1.796416,0.7446
AdaGrad,79,10,0.104288,0.006446,1.665041,1.794875,0.7458
AdaGrad,80,10,0.095876,0.007546,1.660666,1.793626,0.7452
AdaGrad,81,10,0.111402,0.014096,1.657814,1.792153,0.7458
AdaGrad,82,10,0.104531,0.010585,1.659558,1.790521,0.749
AdaGrad,83,10,0.104836,0.013479,1.655717,1.789513,0.7466
AdaGrad,84,10,0.107647,0.006624,1.651857,1.788109,0.7466
AdaGrad,85,10,0.098108,0.013278,1.650182,1.786728,0.7468
AdaGrad,86,10,0.106984,0.013502,1.645794,1.7851,0.7486
AdaGrad,87,10,0.100196,0.008251,1.643545,1.783748,0.748
AdaGrad,88,10,0.100787,0.012066,1.642919,1.782007,0.75
AdaGrad,89,10,0.099406,0.00791,1.64081,1.780808,0.7496
AdaGrad,90,10,0.106118,0.010712,1.635372,1.77971,0.7474
AdaGrad,91,10,0.107985,0.011806,1.636163,1.778339,0.7494
AdaGrad,92,10,0.104852,0.007989,1.634945,1.777044,0.7496
AdaGrad,93,10,0.103612,0.008758,1.632144,1.775965,0.7478
AdaGrad,94,10,0.104798,0.014909,1.624153,1.774621,0.7474
AdaGrad,95,10,0.106915,0.009542,1.628016,1.773339,0.748
AdaGrad,96,10,0.107256,0.005833,1.62463,1.771899,0.7484
AdaGrad,97,10,0.110801,0.010538,1.623274,1.770667,0.749
AdaGrad,98,10,0.108497,0.01077,1.61912,1.769321,0.7498
AdaGrad,99,10,0.110323,0.011429,1.615182,1.767822,0.7506
AdaGrad,100,10,0.111518,0.010266,1.609286,1.766387,0.7502
AdaGrad,101,10,0.103856,0.008311,1.61073,1.76504,0.7512
AdaGrad,102,10,0.108899,0.013768,1.610535,1.763778,0.7502
AdaGrad,103,10,0.105599,0.011647,1.607494,1.762848,0.7498
AdaGrad,104,10,0.109482,0.012437,1.607412,1.761449,0.7504
AdaGrad,105,10,0.110252,0.009249,1.601404,1.760165,0.75
AdaGrad,106,10,0.109883,0.011138,1.596485,1.758699,0.75
AdaGrad,107,10,0.108718,0.01257,1.596134,1.757519,0.751
AdaGrad,108,10,0.100955,0.009676,1.599041,1.75624,0.7504
AdaGrad,109,10,0.106237,0.010331,1.590773,1.754781,0.7514
AdaGrad,110,10,0.106475,0.011407,1.593568,1.753386,0.7532
AdaGrad,111,10,0.109231,0.008629,1.582714,1.75219,0.7508
AdaGrad,112,10,0.120405,0.011061,1.579005,1.750817,0.7528
AdaGrad,113,10,0.110832,0.009474,1.58259,1.749248,0.7546
AdaGrad,114,10,0.108723,0.008914,1.581231,1.748024,0.7536
AdaGrad,115,10,0.108049,0.00766,1.579235,1.747042,0.7522
AdaGrad,116,10,0.117608,0.011422,1.575177,1.745735,0.7512
AdaGrad,117,10,0.112802,0.008167,1.575305,1.744697,0.7514
AdaGrad,118,10,0.102757,0.009835,1.573484,1.743339,0.7524
AdaGrad,119,10,0.106288,0.008203,1.570785,1.742152,0.7528
AdaGrad,120,10,0.113822,0.01236,1.567614,1.740911,0.7518
AdaGrad,121,10,0.108325,0.013139,1.564838,1.739756,0.7512
AdaGrad,122,10,0.114652,0.011741,1.559414,1.738367,0.7526
AdaGrad,123,10,0.109323,0.010666,1.558075,1.737337,0.753
AdaGrad,124,10,0.109406,0.007616,1.557876,1.736213,0.7532
AdaGrad,125,10,0.110708,0.013171,1.556536,1.734966,0.7526
AdaGrad,126,10,0.110172,0.005234,1.554284,1.733817,0.7526
AdaGrad,127,10,0.114693,0.014118,1.557879,1.732611,0.753
AdaGrad,128,10,0.111831,0.009192,1.542187,1.731259,0.7536
AdaGrad,129,10,0.11577,0.02011,1.549195,1.730237,0.7544
AdaGrad,130,10,0.10822,0.008232,1.548548,1.728767,0.7552
AdaGrad,131,10,0.11793,0.008665,1.546571,1.727776,0.754
AdaGrad,132,10,0.118333,0.013011,1.542489,1.72653,0.7552
AdaGrad,133,10,0.113713,0.009021,1.536425,1.725575,0.7544
AdaGrad,134,10,0.113672,0.010704,1.540361,1.724486,0.7532
AdaGrad,135,10,0.121393,0.010208,1.539442,1.72329,0.7536
AdaGrad,136,10,0.113789,0.007305,1.536995,1.722161,0.7546
AdaGrad,137,10,0.115172,0.010226,1.533743,1.720881,0.7552
AdaGrad,138,10,0.112929,0.008364,1.527776,1.719706,0.755
AdaGrad,139,10,0.112091,0.007301,1.534126,1.718226,0.7558
AdaGrad,140,10,0.116204,0.013101,1.530745,1.717015,0.757
AdaGrad,141,10,0.110601,0.009169,1.521184,1.715799,0.7574
AdaGrad,142,10,0.117395,0.012828,1.513881,1.714624,0.7562
AdaGrad,143,10,0.116022,0.014876,1.519974,1.713617,0.756
AdaGrad,144,10,0.1177,0.010361,1.515057,1.712569,0.7554
AdaGrad,145,10,0.116783,0.012898,1.51549,1.711437,0.7564
AdaGrad,146,10,0.115833,0.013356,1.520993,1.710087,0.7584
AdaGrad,147,10,0.119869,0.014631,1.506084,1.709031,0.7572
AdaGrad,148,10,0.119885,0.012818,1.512829,1.707752,0.7574
AdaGrad,149,10,0.106732,0.010367,1.506914,1.706792,0.7572
AdaGrad,150,10,0.116278,0.016555,1.511779,1.705744,0.757
AdaGrad,151,10,0.117341,0.009343,1.502907,1.704641,0.7578
AdaGrad,152,10,0.119353,0.010548,1.499777,1.70348,0.757
AdaGrad,153,10,0.113729,0.010112,1.499844,1.702458,0.7574
AdaGrad,154,10,0.11649,0.014961,1.49941,1.701318,0.757
AdaGrad,155,10,0.113507,0.010377,1.49375,1.700271,0.7578
AdaGrad,156,10,0.11762,0.00898,1.500158,1.699073,0.7582
AdaGrad,157,10,0.116672,0.010164,1.4936,1.697922,0.758
AdaGrad,158,10,0.115794,0.009614,1.490389,1.696663,0.758
AdaGrad,159,10,0.119907,0.009778,1.490553,1.695421,0.7596
AdaGrad,160,10,0.112433,0.010295,1.489122,1.694321,0.7616
AdaGrad,161,10,0.114549,0.009001,1.487675,1.693335,0.7592
AdaGrad,162,10,0.119583,0.00667,1.487204,1.692196,0.7594
AdaGrad,163,10,0.120081,0.011202,1.479984,1.691188,0.7594
AdaGrad,164,10,0.119663,0.01257,1.481355,1.689995,0.7594
AdaGrad,165,10,0.115773,0.011095,1.480131,1.688993,0.7586
AdaGrad,166,10,0.117871,0.014388,1.479958,1.687803,0.759
AdaGrad,167,10,0.116788,0.012555,1.47518,1.686629,0.7586
AdaGrad,168,10,0.125497,0.01441,1.470657,1.685665,0.758
AdaGrad,169,10,0.117168,0.008974,1.471084,1.684568,0.758
AdaGrad,170,10,0.121146,0.011008,1.469342,1.683626,0.7592
AdaGrad,171,10,0.124937,0.011232,1.463904,1.682506,0.76
AdaGrad,172,10,0.122593,0.013844,1.464292,1.681352,0.76
AdaGrad,173,10,0.114503,0.009909,1.466428,1.680292,0.7588
AdaGrad,174,10,0.115739,0.011255,1.460173,1.67917,0.7594
AdaGrad,175,10,0.116774,0.008985,1.46221,1.677954,0.7594
AdaGrad,176,10,0.119427,0.015174,1.459883,1.676966,0.7612
AdaGrad,177,10,0.120247,0.013405,1.457157,1.676048,0.7602
AdaGrad,178,10,0.125263,0.009598,1.455087,1.674882,0.761
AdaGrad,179,10,0.116962,0.008647,1.454635,1.673793,0.761
AdaGrad,180,10,0.116693,0.012149,1.45421,1.672656,0.761
AdaGrad,181,10,0.123726,0.018698,1.451026,1.671581,0.7618
AdaGrad,182,10,0.12159,0.00867,1.445427,1.670484,0.7612
AdaGrad,183,10,0.114013,0.01442,1.444622,1.669478,0.7622
AdaGrad,184,10,0.118198,0.009439,1.449085,1.668514,0.763
AdaGrad,185,10,0.118112,0.010811,1.443269,1.667419,0.7624
AdaGrad,186,10,0.125319,0.012669,1.439781,1.666506,0.7628
AdaGrad,187,10,0.120047,0.010751,1.43859,1.665342,0.7624
AdaGrad,188,10,0.121721,0.011267,1.434294,1.664086,0.7618
AdaGrad,189,10,0.111432,0.008427,1.437343,1.663176,0.7618
AdaGrad,190,10,0.123938,0.013889,1.430918,1.662131,0.7628
AdaGrad,191,10,0.111547,0.006481,1.4367,1.661311,0.7634
AdaGrad,192,10,0.120076,0.008043,1.428071,1.660186,0.7624
AdaGrad,193,10,0.118212,0.012268,1.422545,1.659173,0.7628
AdaGrad,194,10,0.118643,0.014581,1.431526,1.658233,0.7634
AdaGrad,195,10,0.117994,0.009456,1.428655,1.657244,0.763
AdaGrad,196,10,0.122399,0.015011,1.420679,1.65623,0.763
AdaGrad,197,10,0.122604,0.014932,1.422002,1.655386,0.7632
AdaGrad,198,10,0.120282,0.009035,1.42153,1.654367,0.7632
AdaGrad,199,10,0.11955,0.009275,1.419716,1.653514,0.7628
AdaGrad,200,10,0.118276,0.011287,1.421568,1.652475,0.7624
Adam,1,10,0.068395,0.013226,1.945757,1.944232,0.1838
Adam,2,10,0.048442,0.008059,1.940489,1.94085,0.2846
Adam,3,10,0.097878,0.025094,1.934001,1.936404,0.4326
Adam,4,10,0.09506,0.021361,1.926361,1.931957,0.4942
Adam,5,10,0.077041,0.01717,1.918427,1.927505,0.5256
Adam,6,10,0.074483,0.016308,1.908912,1.922842,0.553
Adam,7,10,0.073768,0.017131,1.900701,1.918056,0.5764
Adam,8,10,0.066423,0.018337,1.889531,1.913177,0.5914
Adam,9,10,0.071412,0.011383,1.880906,1.907944,0.608
Adam,10,10,0.070748,0.010909,1.868696,1.902277,0.626
Adam,11,10,0.078279,0.013335,1.85574,1.896011,0.6356
Adam,12,10,0.069546,0.016098,1.84778,1.889572,0.644
Adam,13,10,0.07276,0.014516,1.834849,1.882824,0.65
Adam,14,10,0.077663,0.013423,1.821288,1.875795,0.6596
Adam,15,10,0.07809,0.010782,1.805962,1.868409,0.6652
Adam,16,10,0.082794,0.004677,1.791169,1.860897,0.6752
Adam,17,10,0.082618,0.00571,1.780267,1.853127,0.6798
Adam,18,10,0.08309,0.007438,1.764704,1.845053,0.6874
Adam,19,10,0.090741,0.015816,1.750999,1.836958,0.6984
Adam,20,10,0.094116,0.015094,1.735806,1.828658,0.6998
Adam,21,10,0.096659,0.01222,1.718115,1.819917,0.7026
Adam,22,10,0.093479,0.011704,1.706296,1.810894,0.7028
Adam,23,10,0.106074,0.005358,1.685053,1.801626,0.7048
Adam,24,10,0.101178,0.009585,1.665939,1.791993,0.7066
Adam,25,10,0.106468,0.0123,1.653723,1.782081,0.7104
Adam,26,10,0.110052,0.016568,1.623473,1.771729,0.7136
Adam,27,10,0.106881,0.015189,1.614854,1.760803,0.7186
Adam,28,10,0.111766,0.010229,1.592246,1.749284,0.722
Adam,29,10,0.110513,0.012015,1.576697,1.737438,0.7278
Adam,30,10,0.112782,0.010633,1.547769,1.725259,0.7308
Adam,31,10,0.113112,0.014731,1.53737,1.712805,0.7336
Adam,32,10,0.11494,0.007574,1.519296,1.700184,0.739
Adam,33,10,0.117743,0.011265,1.493776,1.6876,0.7394
Adam,34,10,0.119441,0.019979,1.477779,1.675008,0.7418
Adam,35,10,0.125298,0.011145,1.452243,1.662286,0.741
Adam,36,10,0.117958,0.006496,1.430264,1.649426,0.741
Adam,37,10,0.122537,0.008399,1.413105,1.636383,0.7434
Adam,38,10,0.12941,0.010695,1.379244,1.623064,0.7468
Adam,39,10,0.12798,0.008914,1.359085,1.609854,0.7482
Adam,40,10,0.129341,0.010451,1.354043,1.596596,0.7498
Adam,41,10,0.124987,0.007422,1.323713,1.583443,0.7526
Adam,42,10,0.12838,0.011493,1.310496,1.570041,0.7538
Adam,43,10,0.128252,0.009053,1.288444,1.556684,0.754
Adam,44,10,0.126765,0.013461,1.254347,1.542673,0.7536
Adam,45,10,0.12687,0.009393,1.237799,1.528354,0.756
Adam,46,10,0.128609,0.013983,1.222619,1.513816,0.7572
Adam,47,10,0.134804,0.01321,1.19764,1.499277,0.7592
Adam,48,10,0.142821,0.015695,1.16634,1.484672,0.7604
Adam,49,10,0.131875,0.01515,1.15761,1.470485,0.7606
Adam,50,10,0.130387,0.010856,1.139112,1.457053,0.7602
Adam,51,10,0.132313,0.014833,1.118971,1.444128,0.7612
Adam,52,10,0.137251,0.012904,1.10872,1.431514,0.7614
Adam,53,10,0.131943,0.004736,1.074033,1.419329,0.7614
Adam,54,10,0.129415,0.012036,1.066408,1.407064,0.7632
Adam,55,10,0.134352,0.020164,1.039124,1.39479,0.765
Adam,56,10,0.132742,0.010896,1.032745,1.382346,0.7648
Adam,57,10,0.136248,0.009158,1.002563,1.369573,0.7644
Adam,58,10,0.130653,0.007416,0.983787,1.356344,0.7646
Adam,59,10,0.126654,0.011944,0.971349,1.343109,0.7652
Adam,60,10,0.140379,0.019165,0.94199,1.32987,0.7658
Adam,61,10,0.129209,0.015976,0.937546,1.316923,0.7692
Adam,62,10,0.132051,0.013794,0.908974,1.30392,0.7722
Adam,63,10,0.134925,0.013179,0.91353,1.291432,0.7736
Adam,64,10,0.133845,0.015743,0.895788,1.279535,0.7734
Adam,65,10,0.141413,0.020571,0.868721,1.268306,0.7752
Adam,66,10,0.138664,0.014134,0.875113,1.258114,0.775
Adam,67,10,0.137936,0.010731,0.844418,1.24881,0.774
Adam,68,10,0.135834,0.015763,0.833841,1.240214,0.774
Adam,69,10,0.130485,0.020725,0.81215,1.231823,0.7728
Adam,70,10,0.131654,0.016533,0.80226,1.223583,0.7716
Adam,71,10,0.139498,0.014111,0.797189,1.215111,0.7712
Adam,72,10,0.137629,0.013976,0.766867,1.206184,0.7702
Adam,73,10,0.133317,0.010868,0.778521,1.197107,0.772
Adam,74,10,0.128942,0.013143,0.753481,1.187705,0.7726
Adam,75,10,0.131369,0.011291,0.742631,1.178162,0.7742
Adam,76,10,0.129271,0.014983,0.718631,1.169077,0.777
Adam,77,10,0.1319,0.018722,0.72549,1.160415,0.7756
Adam,78,10,0.134133,0.017849,0.708498,1.151697,0.7768
Adam,79,10,0.132922,0.026865,0.711547,1.143646,0.779
Adam,80,10,0.132484,0.020468,0.697165,1.135979,0.7822
Adam,81,10,0.135224,0.012369,0.680068,1.128649,0.7812
Adam,82,10,0.132713,0.021283,0.677052,1.121918,0.7822
Adam,83,10,0.130473,0.006332,0.669628,1.115741,0.7802
Adam,84,10,0.131929,0.017818,0.665285,1.109567,0.7782
Adam,85,10,0.132733,0.01398,0.657259,1.103472,0.7778
Adam,86,10,0.12562,0.02017,0.652858,1.097614,0.778
Adam,87,10,0.133961,0.016725,0.635758,1.091918,0.7786
Adam,88,10,0.121824,0.019737,0.622733,1.086298,0.7764
Adam,89,10,0.119206,0.01995,0.627249,1.080296,0.778
Adam,90,10,0.134826,0.019641,0.621972,1.074322,0.7798
Adam,91,10,0.130158,0.015534,0.614812,1.068086,0.7812
Adam,92,10,0.12897,0.011414,0.608453,1.062066,0.7816
Adam,93,10,0.125708,0.027865,0.614696,1.0561,0.7818
Adam,94,10,0.13205,0.026332,0.598364,1.051216,0.7832
Adam,95,10,0.113623,0.021236,0.586954,1.04609,0.7826
Adam,96,10,0.128718,0.013687,0.593087,1.041418,0.782
Adam,97,10,0.124825,0.024431,0.584443,1.037183,0.7808
Adam,98,10,0.125609,0.012857,0.560051,1.033109,0.7794
Adam,99,10,0.132394,0.018131,0.566736,1.028303,0.7786
Adam,100,10,0.130847,0.011959,0.564976,1.024025,0.7792
Adam,101,10,0.138379,0.025063,0.548037,1.019952,0.7806
Adam,102,10,0.130549,0.024591,0.546943,1.015649,0.7808
Adam,103,10,0.133115,0.016863,0.531601,1.011204,0.7808
Adam,104,10,0.127402,0.020633,0.534229,1.005899,0.7822
Adam,105,10,0.144928,0.030588,0.53374,1.001124,0.7832
Adam,106,10,0.1268,0.017757,0.523283,0.997149,0.7828
Adam,107,10,0.134589,0.025879,0.535932,0.993556,0.7822
Adam,108,10,0.123092,0.011803,0.521016,0.990195,0.7824
Adam,109,10,0.124691,0.019195,0.52531,0.987224,0.782
Adam,110,10,0.138428,0.027694,0.508089,0.983635,0.7822
Adam,111,10,0.147912,0.02481,0.513219,0.979332,0.7814
Adam,112,10,0.122685,0.019029,0.500076,0.975553,0.7826
Adam,113,10,0.126897,0.017683,0.501534,0.972305,0.7808
Adam,114,10,0.137968,0.028256,0.497036,0.969421,0.782
Adam,115,10,0.13141,0.018283,0.480236,0.966283,0.7834
Adam,116,10,0.13927,0.029819,0.492061,0.963634,0.7834
Adam,117,10,0.139753,0.021677,0.474436,0.96098,0.7842
Adam,118,10,0.129161,0.016766,0.476913,0.958709,0.7842
Adam,119,10,0.134193,0.024328,0.486375,0.955672,0.7838
Adam,120,10,0.139495,0.023465,0.472002,0.952382,0.7846
Adam,121,10,0.135984,0.033267,0.471231,0.949162,0.7838
Adam,122,10,0.143002,0.033985,0.486614,0.945564,0.7836
Adam,123,10,0.13918,0.018863,0.466241,0.941779,0.7852
Adam,124,10,0.121732,0.016683,0.470834,0.938027,0.7862
Adam,125,10,0.132235,0.022378,0.467148,0.934953,0.785
Adam,126,10,0.131017,0.01883,0.45429,0.932787,0.7858
Adam,127,10,0.141146,0.030643,0.464478,0.931592,0.7868
Adam,128,10,0.122346,0.029948,0.449071,0.930592,0.785
Adam,129,10,0.142693,0.02306,0.439726,0.929734,0.785
Adam,130,10,0.140128,0.011099,0.450143,0.927909,0.7854
Adam,131,10,0.136451,0.019823,0.441784,0.925977,0.784
Adam,132,10,0.138611,0.030406,0.435121,0.923654,0.7822
Adam,133,10,0.147343,0.028649,0.452348,0.920525,0.7834
Adam,134,10,0.131885,0.026475,0.436388,0.917651,0.7838
Adam,135,10,0.139848,0.0276,0.438871,0.916157,0.7832
Adam,136,10,0.129141,0.014104,0.429026,0.914135,0.7824
Adam,137,10,0.136304,0.032421,0.427769,0.911707,0.7844
Adam,138,10,0.139518,0.028916,0.427204,0.90958,0.7846
Adam,139,10,0.132616,0.015427,0.419993,0.908382,0.7836
Adam,140,10,0.128962,0.024259,0.427441,0.90709,0.7834
Adam,141,10,0.148075,0.014762,0.414789,0.904778,0.7846
Adam,142,10,0.133661,0.02677,0.424822,0.901772,0.7862
Adam,143,10,0.133587,0.029874,0.414234,0.898803,0.7864
Adam,144,10,0.138723,0.025628,0.419428,0.896603,0.7862
Adam,145,10,0.133996,0.03609,0.402541,0.895305,0.7864
Adam,146,10,0.131431,0.02106,0.4066,0.893645,0.7852
Adam,147,10,0.145635,0.03742,0.41094,0.892144,0.7852
Adam,148,10,0.14112,0.027776,0.397589,0.890875,0.784
Adam,149,10,0.134195,0.022317,0.39516,0.889241,0.783
Adam,150,10,0.127994,0.031573,0.402104,0.887109,0.7844
Adam,151,10,0.128005,0.027392,0.403281,0.885642,0.7832
Adam,152,10,0.129304,0.019889,0.403392,0.883591,0.785
Adam,153,10,0.118908,0.02235,0.382443,0.881733,0.7832
Adam,154,10,0.138653,0.033652,0.390455,0.880214,0.7836
Adam,155,10,0.137891,0.029548,0.392852,0.879304,0.785
Adam,156,10,0.137808,0.036842,0.378478,0.878166,0.7856
Adam,157,10,0.130174,0.029774,0.387711,0.877497,0.7858
Adam,158,10,0.147168,0.023778,0.388173,0.876123,0.7858
Adam,159,10,0.141245,0.030308,0.379735,0.874356,0.7858
Adam,160,10,0.152047,0.039044,0.384969,0.872453,0.7852
Adam,161,10,0.147641,0.037395,0.382328,0.87022,0.7838
Adam,162,10,0.15417,0.028466,0.383572,0.867897,0.7856
Adam,163,10,0.148669,0.033997,0.393584,0.866129,0.7848
Adam,164,10,0.132634,0.017927,0.375876,0.864571,0.7876
Adam,165,10,0.141441,0.03164,0.369517,0.863057,0.7864
Adam,166,10,0.142317,0.035446,0.388717,0.862133,0.7866
Adam,167,10,0.14869,0.025402,0.358206,0.861981,0.786
Adam,168,10,0.145235,0.024547,0.36778,0.861402,0.7842
Adam,169,10,0.122716,0.02771,0.361342,0.860701,0.783
Adam,170,10,0.136763,0.034565,0.360953,0.859618,0.7836
